id_maquina,nome,data_medicao,cpu_frequencia,cpu_porcentagem,cpu_temperatura,disco_livre,disco_porcentagem,ram_livre,ram_porcentagem
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:35:33,100.0,60.0,50.0,120.0,75.0,1.0,75.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:35:38,102.0,50.0,45.0,160.0,67.0,2.0,65.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:35:43,108.0,64.0,55.0,140.0,73.0,2.0,72.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:35:48,100.0,60.0,50.0,120.0,75.0,1.0,75.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:35:53,102.0,50.0,45.0,160.0,67.0,2.0,65.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:35:58,108.0,64.0,55.0,140.0,73.0,2.0,72.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:36:03,100.0,60.0,50.0,120.0,75.0,1.0,75.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:36:08,102.0,50.0,45.0,160.0,67.0,2.0,65.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:36:14,108.0,64.0,55.0,140.0,73.0,2.0,72.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:36:19,100.0,60.0,50.0,120.0,75.0,1.0,75.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:36:24,102.0,50.0,45.0,160.0,67.0,2.0,65.0
73:04:cd:e5:6f:a0,Server1,2021-10-26 08:36:29,108.0,64.0,55.0,140.0,73.0,2.0,72.0
