id_maquina,nome,data_medicao,cpu_frequencia,cpu_porcentagem,cpu_temperatura,disco_livre,disco_porcentagem,ram_livre,ram_porcentagem
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:35:33,150.0,95.0,80.0,20.0,93.0,0.2,96.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:35:38,140.0,94.0,90.0,18.0,95.0,0.1,97.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:35:43,152.0,97.0,81.0,8.0,96.3,0.12,97.6
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:35:48,150.0,95.0,80.0,20.0,93.0,0.2,96.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:35:53,140.0,94.0,90.0,18.0,95.0,0.1,97.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:35:58,152.0,97.0,81.0,8.0,96.3,0.12,97.6
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:36:03,150.0,95.0,80.0,20.0,93.0,0.2,96.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:36:08,140.0,94.0,90.0,18.0,95.0,0.1,97.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:36:14,152.0,97.0,81.0,8.0,96.3,0.12,97.6
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:36:19,150.0,95.0,80.0,20.0,93.0,0.2,96.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:36:24,140.0,94.0,90.0,18.0,95.0,0.1,97.0
7b:a0:1d:74:7f:68,Server4,2021-10-26 08:36:29,152.0,97.0,81.0,8.0,96.3,0.12,97.6
